A^B^C^D^E^F^G^H^I^J^K^L
271^0^1^Cairns, Mr. Alexander^male^^0^0^S^113798^31.0^
541^1^1^Crosby, Miss. Harriet R^female^36.0^0^2^S^WE/P 5735^71.0^B22
773^0^2^Mack, Mrs. (Mary)^female^57.0^0^0^S^S.O./P.P. 3^10.5^E77
781^1^3^Ayoub, Miss. Banoura^female^13.0^0^0^C^2687^7.2292^
715^0^2^Greenberg, Mr. Samuel^male^52.0^0^0^S^250647^13.0^
241^0^3^Zabour, Miss. Thamine^female^^1^0^C^2665^14.4542^
184^1^2^Becker, Master. Richard F^male^1.0^2^1^S^230136^39.0^F4
731^1^1^Allen, Miss. Elisabeth Walton^female^29.0^0^0^S^24160^211.3375^B5
261^0^3^Smith, Mr. Thomas^male^^0^0^Q^384461^7.75^
380^0^3^Gustafsson, Mr. Karl Gideon^male^19.0^0^0^S^347069^7.775^
501^0^3^Calic, Mr. Petar^male^17.0^0^0^S^315086^8.6625^
364^0^3^Asim, Mr. Adola^male^35.0^0^0^S^SOTON/O.Q. 3101310^7.05^
460^0^3^O'Connor, Mr. Maurice^male^^0^0^Q^371060^7.75^
571^1^2^Harris, Mr. George^male^62.0^0^0^S^S.W./PP 752^10.5^
274^0^1^Natsch, Mr. Charles H^male^37.0^0^1^C^PC 17596^29.7^C118
564^0^3^Simmons, Mr. John^male^^0^0^S^SOTON/OQ 392082^8.05^
127^0^3^McMahon, Mr. Martin^male^^0^0^Q^370372^7.75^
86^1^3^Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)^female^33.0^3^0^S^3101278^15.85^
432^1^3^Thorneycroft, Mrs. Percival (Florence Kate White)^female^^1^0^S^376564^16.1^
625^0^3^"Bowen, Mr. David John ""Dai"""^male^21.0^0^0^S^54636^16.1^
834^0^3^Augustsson, Mr. Albert^male^23.0^0^0^S^347468^7.8542^
812^0^3^Lester, Mr. James^male^39.0^0^0^S^A/4 48871^24.15^
514^1^1^Rothschild, Mrs. Martin (Elizabeth L. Barrett)^female^54.0^1^0^C^PC 17603^59.4^
578^1^1^Silvey, Mrs. William Baird (Alice Munger)^female^39.0^1^0^S^13507^55.9^E44
191^1^2^Pinsky, Mrs. (Rosa)^female^32.0^0^0^S^234604^13.0^
242^1^3^"Murphy, Miss. Katherine ""Kate"""^female^^1^0^Q^367230^15.5^
700^0^3^Humblen, Mr. Adolf Mathias Nicolai Olsen^male^42.0^0^0^S^348121^7.65^F G63
70^0^3^Kink, Mr. Vincenz^male^26.0^2^0^S^315151^8.6625^
735^0^2^Troupiansky, Mr. Moses Aaron^male^23.0^0^0^S^233639^13.0^
845^0^3^Culumovic, Mr. Jeso^male^17.0^0^0^S^315090^8.6625^
290^1^3^Connolly, Miss. Kate^female^22.0^0^0^Q^370373^7.75^
425^0^3^Rosblom, Mr. Viktor Richard^male^18.0^1^1^S^370129^20.2125^
22^1^2^Beesley, Mr. Lawrence^male^34.0^0^0^S^248698^13.0^D56
694^0^3^Saad, Mr. Khalil^male^25.0^0^0^C^2672^7.225^
500^0^3^Svensson, Mr. Olof^male^24.0^0^0^S^350035^7.7958^
8^0^3^Palsson, Master. Gosta Leonard^male^2.0^3^1^S^349909^21.075^
268^1^3^Persson, Mr. Ernst Ulrik^male^25.0^1^0^S^347083^7.775^
111^0^1^Porter, Mr. Walter Chamberlain^male^47.0^0^0^S^110465^52.0^C110
762^0^3^Nirva, Mr. Iisakki Antino Aijo^male^41.0^0^0^S^SOTON/O2 3101272^7.125^
253^0^1^Stead, Mr. William Thomas^male^62.0^0^0^S^113514^26.55^C87
35^0^1^Meyer, Mr. Edgar Joseph^male^28.0^1^0^C^PC 17604^82.1708^
285^0^1^Smith, Mr. Richard William^male^^0^0^S^113056^26.0^A19
83^1^3^McDermott, Miss. Brigdet Delia^female^^0^0^Q^330932^7.7875^
716^0^3^Soholt, Mr. Peter Andreas Lauritz Andersen^male^19.0^0^0^S^348124^7.65^F G73
480^1^3^Hirvonen, Miss. Hildur E^female^2.0^0^1^S^3101298^12.2875^
381^1^1^Bidois, Miss. Rosalie^female^42.0^0^0^C^PC 17757^227.525^
434^0^3^Kallio, Mr. Nikolai Erland^male^17.0^0^0^S^STON/O 2. 3101274^7.125^
717^1^1^Endres, Miss. Caroline Louise^female^38.0^0^0^C^PC 17757^227.525^C45
839^1^3^Chip, Mr. Chang^male^32.0^0^0^S^1601^56.4958^
224^0^3^Nenkoff, Mr. Christo^male^^0^0^S^349234^7.8958^
766^1^1^Hogeboom, Mrs. John C (Anna Andrews)^female^51.0^1^0^S^13502^77.9583^D11
152^1^1^Pears, Mrs. Thomas (Edith Wearne)^female^22.0^1^0^S^113776^66.6^C2
475^0^3^Strandberg, Miss. Ida Sofia^female^22.0^0^0^S^7553^9.8375^
628^1^1^Longley, Miss. Gretchen Fiske^female^21.0^0^0^S^13502^77.9583^D9
354^0^3^Arnold-Franchi, Mr. Josef^male^25.0^1^0^S^349237^17.8^
659^0^2^Eitemiller, Mr. George Floyd^male^23.0^0^0^S^29751^13.0^
840^1^1^Marechal, Mr. Pierre^male^^0^0^C^11774^29.7^C47
416^0^3^Meek, Mrs. Thomas (Annie Louise Rowley)^female^^0^0^S^343095^8.05^
256^1^3^Touma, Mrs. Darwis (Hanne Youssef Razi)^female^29.0^0^2^C^2650^15.2458^
582^1^1^Thayer, Mrs. John Borland (Marian Longstreth Morris)^female^39.0^1^1^C^17421^110.8833^C68
222^0^2^Bracken, Mr. James H^male^27.0^0^0^S^220367^13.0^
652^1^2^Doling, Miss. Elsie^female^18.0^0^1^S^231919^23.0^
621^0^3^Yasbeck, Mr. Antoni^male^27.0^1^0^C^2659^14.4542^
796^0^2^Otter, Mr. Richard^male^39.0^0^0^S^28213^13.0^
888^1^1^Graham, Miss. Margaret Edith^female^19.0^0^0^S^112053^30.0^B42
593^0^3^Elsbury, Mr. William James^male^47.0^0^0^S^A/5 3902^7.25^
727^1^2^Renouf, Mrs. Peter Henry (Lillian Jefferys)^female^30.0^3^0^S^31027^21.0^
495^0^3^Stanley, Mr. Edward Roland^male^21.0^0^0^S^A/4 45380^8.05^
251^0^3^Reed, Mr. James George^male^^0^0^S^362316^7.25^
378^0^1^Widener, Mr. Harry Elkins^male^27.0^0^2^C^113503^211.5^C82
209^1^3^"Carr, Miss. Helen ""Ellen"""^female^16.0^0^0^Q^367231^7.75^
502^0^3^Canavan, Miss. Mary^female^21.0^0^0^Q^364846^7.75^
435^0^1^Silvey, Mr. William Baird^male^50.0^1^0^S^13507^55.9^E44
522^0^3^Vovk, Mr. Janko^male^22.0^0^0^S^349252^7.8958^
308^1^1^Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)^female^17.0^1^0^C^PC 17758^108.9^C65
175^0^1^Smith, Mr. James Clinch^male^56.0^0^0^C^17764^30.6958^A7
729^0^2^Bryhl, Mr. Kurt Arnold Gottfrid^male^25.0^1^0^S^236853^26.0^
438^1^2^Richards, Mrs. Sidney (Emily Hocking)^female^24.0^2^3^S^29106^18.75^
117^0^3^Connors, Mr. Patrick^male^70.5^0^0^Q^370369^7.75^
341^1^2^Navratil, Master. Edmond Roger^male^2.0^1^1^S^230080^26.0^F2
55^0^1^Ostby, Mr. Engelhart Cornelius^male^65.0^0^1^C^113509^61.9792^B30
96^0^3^Shorney, Mr. Charles Joseph^male^^0^0^S^374910^8.05^
751^1^2^Wells, Miss. Joan^female^4.0^1^1^S^29103^23.0^
128^1^3^Madsen, Mr. Fridtjof Arne^male^24.0^0^0^S^C 17369^7.1417^
635^0^3^Skoog, Miss. Mabel^female^9.0^3^2^S^347088^27.9^
347^1^2^Smith, Miss. Marion Elsie^female^40.0^0^0^S^31418^13.0^
298^0^1^Allison, Miss. Helen Loraine^female^2.0^1^2^S^113781^151.55^C22 C26
675^0^2^Watson, Mr. Ennis Hastings^male^^0^0^S^239856^0.0^
259^1^1^Ward, Miss. Anna^female^35.0^0^0^C^PC 17755^512.3292^
110^1^3^Moran, Miss. Bertha^female^^1^0^Q^371110^24.15^
326^1^1^Young, Miss. Marie Grice^female^36.0^0^0^C^PC 17760^135.6333^C32
17^0^3^Rice, Master. Eugene^male^2.0^4^1^Q^382652^29.125^
606^0^3^Lindell, Mr. Edvard Bengtsson^male^36.0^1^0^S^349910^15.55^
199^1^3^"Madigan, Miss. Margaret ""Maggie"""^female^^0^0^Q^370370^7.75^
82^1^3^Sheerlinck, Mr. Jan Baptist^male^29.0^0^0^S^345779^9.5^
363^0^3^Barbara, Mrs. (Catherine David)^female^45.0^0^1^C^2691^14.4542^
600^1^1^"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")"^male^49.0^1^0^C^PC 17485^56.9292^A20
339^1^3^Dahl, Mr. Karl Edwart^male^45.0^0^0^S^7598^8.05^
728^1^3^Mannion, Miss. Margareth^female^^0^0^Q^36866^7.7375^
605^1^1^"Homer, Mr. Harry (""Mr E Haven"")"^male^35.0^0^0^C^111426^26.55^
252^0^3^Strom, Mrs. Wilhelm (Elna Matilda Persson)^female^29.0^1^1^S^347054^10.4625^G6
667^0^2^Butler, Mr. Reginald Fenton^male^25.0^0^0^S^234686^13.0^
868^0^1^Roebling, Mr. Washington Augustus II^male^31.0^0^0^S^PC 17590^50.4958^A24
661^1^1^Frauenthal, Dr. Henry William^male^50.0^2^0^S^PC 17611^133.65^
47^0^3^Lennon, Mr. Denis^male^^1^0^Q^370371^15.5^
487^1^1^Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)^female^35.0^1^0^S^19943^90.0^C93
34^0^2^Wheadon, Mr. Edward H^male^66.0^0^0^S^C.A. 24579^10.5^
863^1^1^Swift, Mrs. Frederick Joel (Margaret Welles Barron)^female^48.0^0^0^S^17466^25.9292^D17
644^1^3^Foo, Mr. Choong^male^^0^0^S^1601^56.4958^
281^0^3^Duane, Mr. Frank^male^65.0^0^0^Q^336439^7.75^
479^0^3^Karlsson, Mr. Nils August^male^22.0^0^0^S^350060^7.5208^
59^1^2^West, Miss. Constance Mirium^female^5.0^1^2^S^C.A. 34651^27.75^
248^1^2^Hamalainen, Mrs. William (Anna)^female^24.0^0^2^S^250649^14.5^
202^0^3^Sage, Mr. Frederick^male^^8^2^S^CA. 2343^69.55^
565^0^3^Meanwell, Miss. (Marion Ogden)^female^^0^0^S^SOTON/O.Q. 392087^8.05^
203^0^3^Johanson, Mr. Jakob Alfred^male^34.0^0^0^S^3101264^6.4958^
721^1^2^"Harper, Miss. Annie Jessie ""Nina"""^female^6.0^0^1^S^248727^33.0^
547^1^2^Beane, Mrs. Edward (Ethel Clarke)^female^19.0^1^0^S^2908^26.0^
820^0^3^Skoog, Master. Karl Thorsten^male^10.0^3^2^S^347088^27.9^
453^0^1^Foreman, Mr. Benjamin Laventall^male^30.0^0^0^C^113051^27.75^C111
56^1^1^Woolner, Mr. Hugh^male^^0^0^S^19947^35.5^C52
421^0^3^Gheorgheff, Mr. Stanio^male^^0^0^C^349254^7.8958^
25^0^3^Palsson, Miss. Torborg Danira^female^8.0^3^1^S^349909^21.075^
719^0^3^McEvoy, Mr. Michael^male^^0^0^Q^36568^15.5^
144^0^3^Burke, Mr. Jeremiah^male^19.0^0^0^Q^365222^6.75^
258^1^1^Cherry, Miss. Gladys^female^30.0^0^0^S^110152^86.5^B77
404^0^3^Hakkarainen, Mr. Pekka Pietari^male^28.0^1^0^S^STON/O2. 3101279^15.85^
788^0^3^Rice, Master. George Hugh^male^8.0^4^1^Q^382652^29.125^
249^1^1^Beckwith, Mr. Richard Leonard^male^37.0^1^1^S^11751^52.5542^D35
520^0^3^Pavlovic, Mr. Stefo^male^32.0^0^0^S^349242^7.8958^
104^0^3^Johansson, Mr. Gustaf Joel^male^33.0^0^0^S^7540^8.6542^
807^0^1^Andrews, Mr. Thomas Jr^male^39.0^0^0^S^112050^0.0^A36
477^0^2^Renouf, Mr. Peter Henry^male^34.0^1^0^S^31027^21.0^
279^0^3^Rice, Master. Eric^male^7.0^4^1^Q^382652^29.125^
400^1^2^Trout, Mrs. William H (Jessie L)^female^28.0^0^0^S^240929^12.65^
448^1^1^Seward, Mr. Frederic Kimber^male^34.0^0^0^S^113794^26.55^
42^0^2^Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)^female^27.0^1^0^S^11668^21.0^
496^0^3^Yousseff, Mr. Gerious^male^^0^0^C^2627^14.4583^
123^0^2^Nasser, Mr. Nicholas^male^32.5^1^0^C^237736^30.0708^
518^0^3^Ryan, Mr. Patrick^male^^0^0^Q^371110^24.15^
21^0^2^Fynney, Mr. Joseph J^male^35.0^0^0^S^239865^26.0^
857^1^1^Wick, Mrs. George Dennick (Mary Hitchcock)^female^45.0^1^1^S^36928^164.8667^
775^1^2^Hocking, Mrs. Elizabeth (Eliza Needs)^female^54.0^1^3^S^29105^23.0^
584^0^1^Ross, Mr. John Hugo^male^36.0^0^0^C^13049^40.125^A10
84^0^1^Carrau, Mr. Francisco M^male^28.0^0^0^S^113059^47.1^
353^0^3^Elias, Mr. Tannous^male^15.0^1^1^C^2695^7.2292^
348^1^3^Davison, Mrs. Thomas Henry (Mary E Finck)^female^^1^0^S^386525^16.1^
207^0^3^Backstrom, Mr. Karl Alfred^male^32.0^1^0^S^3101278^15.85^
69^1^3^Andersson, Miss. Erna Alexandra^female^17.0^4^2^S^3101281^7.925^
439^0^1^Fortune, Mr. Mark^male^64.0^1^4^S^19950^263.0^C23 C25 C27
4^1^1^Futrelle, Mrs. Jacques Heath (Lily May Peel)^female^35.0^1^0^S^113803^53.1^C123
653^0^3^Kalvik, Mr. Johannes Halvorsen^male^21.0^0^0^S^8475^8.4333^
223^0^3^Green, Mr. George Henry^male^51.0^0^0^S^21440^8.05^
65^0^1^Stewart, Mr. Albert A^male^^0^0^C^PC 17605^27.7208^
340^0^1^Blackwell, Mr. Stephen Weart^male^45.0^0^0^S^113784^35.5^T
265^0^3^Henry, Miss. Delia^female^^0^0^Q^382649^7.75^
679^0^3^Goodwin, Mrs. Frederick (Augusta Tyler)^female^43.0^1^6^S^CA 2144^46.9^
760^1^1^Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)^female^33.0^0^0^S^110152^86.5^B77
33^1^3^Glynn, Miss. Mary Agatha^female^^0^0^Q^335677^7.75^
557^1^1^"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"^female^48.0^1^0^C^11755^39.6^A16
663^0^1^Colley, Mr. Edward Pomeroy^male^47.0^0^0^S^5727^25.5875^E58
780^1^1^Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)^female^43.0^0^1^S^24160^211.3375^B3
631^1^1^Barkworth, Mr. Algernon Henry Wilson^male^80.0^0^0^S^27042^30.0^A23
536^1^2^Hart, Miss. Eva Miriam^female^7.0^0^2^S^F.C.C. 13529^26.25^
332^0^1^Partner, Mr. Austen^male^45.5^0^0^S^113043^28.5^C124
802^1^2^Collyer, Mrs. Harvey (Charlotte Annie Tate)^female^31.0^1^1^S^C.A. 31921^26.25^
720^0^3^Johnson, Mr. Malkolm Joackim^male^33.0^0^0^S^347062^7.775^
519^1^2^"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"^female^36.0^1^0^S^226875^26.0^
539^0^3^Risien, Mr. Samuel Beard^male^^0^0^S^364498^14.5^
665^1^3^Lindqvist, Mr. Eino William^male^20.0^1^0^S^STON/O 2. 3101285^7.925^
6^0^3^Moran, Mr. James^male^^0^0^Q^330877^8.4583^
180^0^3^Leonard, Mr. Lionel^male^36.0^0^0^S^LINE^0.0^
394^1^1^Newell, Miss. Marjorie^female^23.0^1^0^C^35273^113.275^D36
768^0^3^Mangan, Miss. Mary^female^30.5^0^0^Q^364850^7.75^
159^0^3^Smiljanic, Mr. Mile^male^^0^0^S^315037^8.6625^
639^0^3^Panula, Mrs. Juha (Maria Emilia Ojala)^female^41.0^0^5^S^3101295^39.6875^
463^0^1^Gee, Mr. Arthur H^male^47.0^0^0^S^111320^38.5^E63
692^1^3^Karun, Miss. Manca^female^4.0^0^1^C^349256^13.4167^
837^0^3^Pasic, Mr. Jakob^male^21.0^0^0^S^315097^8.6625^
618^0^3^Lobb, Mrs. William Arthur (Cordelia K Stanlick)^female^26.0^1^0^S^A/5. 3336^16.1^
388^1^2^Buss, Miss. Kate^female^36.0^0^0^S^27849^13.0^
324^1^2^Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)^female^22.0^1^1^S^248738^29.0^
45^1^3^Devaney, Miss. Margaret Delia^female^19.0^0^0^Q^330958^7.8792^
551^1^1^Thayer, Mr. John Borland Jr^male^17.0^0^2^C^17421^110.8833^C70
138^0^1^Futrelle, Mr. Jacques Heath^male^37.0^1^0^S^113803^53.1^C123
254^0^3^Lobb, Mr. William Arthur^male^30.0^1^0^S^A/5. 3336^16.1^
94^0^3^Dean, Mr. Bertram Frank^male^26.0^1^2^S^C.A. 2315^20.575^
718^1^2^"Troutt, Miss. Edwina Celia ""Winnie"""^female^27.0^0^0^S^34218^10.5^E101
53^1^1^Harper, Mrs. Henry Sleeper (Myna Haxtun)^female^49.0^1^0^C^PC 17572^76.7292^D33
330^1^1^Hippach, Miss. Jean Gertrude^female^16.0^0^1^C^111361^57.9792^B18
136^0^2^Richard, Mr. Emile^male^23.0^0^0^C^SC/PARIS 2133^15.0458^
398^0^2^McKane, Mr. Peter David^male^46.0^0^0^S^28403^26.0^
430^1^3^Pickard, Mr. Berk (Berk Trembisky)^male^32.0^0^0^S^SOTON/O.Q. 392078^8.05^E10
401^1^3^Niskanen, Mr. Juha^male^39.0^0^0^S^STON/O 2. 3101289^7.925^
14^0^3^Andersson, Mr. Anders Johan^male^39.0^1^5^S^347082^31.275^
785^0^3^Ali, Mr. William^male^25.0^0^0^S^SOTON/O.Q. 3101312^7.05^
392^1^3^Jansson, Mr. Carl Olof^male^21.0^0^0^S^350034^7.7958^
858^1^1^Daly, Mr. Peter Denis ^male^51.0^0^0^S^113055^26.55^E17
489^0^3^Somerton, Mr. Francis William^male^30.0^0^0^S^A.5. 18509^8.05^
670^1^1^Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)^female^^1^0^S^19996^52.0^C126
876^1^3^"Najib, Miss. Adele Kiamie ""Jane"""^female^15.0^0^0^C^2667^7.225^
292^1^1^Bishop, Mrs. Dickinson H (Helen Walton)^female^19.0^1^0^C^11967^91.0792^B49
408^1^2^Richards, Master. William Rowe^male^3.0^1^1^S^29106^18.75^
431^1^1^Bjornstrom-Steffansson, Mr. Mauritz Hakan^male^28.0^0^0^S^110564^26.55^C52
325^0^3^Sage, Mr. George John Jr^male^^8^2^S^CA. 2343^69.55^
120^0^3^Andersson, Miss. Ellis Anna Maria^female^2.0^4^2^S^347082^31.275^
395^1^3^Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)^female^24.0^0^2^S^PP 9549^16.7^G6
446^1^1^Dodge, Master. Washington^male^4.0^0^2^S^33638^81.8583^A34
151^0^2^Bateman, Rev. Robert James^male^51.0^0^0^S^S.O.P. 1166^12.525^
164^0^3^Calic, Mr. Jovo^male^17.0^0^0^S^315093^8.6625^
577^1^2^Garside, Miss. Ethel^female^34.0^0^0^S^243880^13.0^
674^1^2^Wilhelms, Mr. Charles^male^31.0^0^0^S^244270^13.0^
548^1^2^Padro y Manent, Mr. Julian^male^^0^0^C^SC/PARIS 2146^13.8625^
467^0^2^Campbell, Mr. William^male^^0^0^S^239853^0.0^
100^0^2^Kantor, Mr. Sinai^male^34.0^1^0^S^244367^26.0^
754^0^3^Jonkoff, Mr. Lalio^male^23.0^0^0^S^349204^7.8958^
423^0^3^Zimmerman, Mr. Leo^male^29.0^0^0^S^315082^7.875^
54^1^2^Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)^female^29.0^1^0^S^2926^26.0^
815^0^3^Tomlin, Mr. Ernest Portage^male^30.5^0^0^S^364499^8.05^
323^1^2^Slayter, Miss. Hilda Mary^female^30.0^0^0^Q^234818^12.35^
137^1^1^Newsom, Miss. Helen Monypeny^female^19.0^0^2^S^11752^26.2833^D47
346^1^2^"Brown, Miss. Amelia ""Mildred"""^female^24.0^0^0^S^248733^13.0^F33
529^0^3^Salonen, Mr. Johan Werner^male^39.0^0^0^S^3101296^7.925^
852^0^3^Svensson, Mr. Johan^male^74.0^0^0^S^347060^7.775^
31^0^1^Uruchurtu, Don. Manuel E^male^40.0^0^0^C^PC 17601^27.7208^
456^1^3^Jalsevac, Mr. Ivan^male^29.0^0^0^C^349240^7.8958^
284^1^3^Dorking, Mr. Edward Arthur^male^19.0^0^0^S^A/5. 10482^8.05^
393^0^3^Gustafsson, Mr. Johan Birger^male^28.0^2^0^S^3101277^7.925^
26^1^3^Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)^female^38.0^1^5^S^347077^31.3875^
282^0^3^Olsson, Mr. Nils Johan Goransson^male^28.0^0^0^S^347464^7.8542^
819^0^3^Holm, Mr. John Fredrik Alexander^male^43.0^0^0^S^C 7075^6.45^
433^1^2^Louch, Mrs. Charles Alexander (Alice Adelaide Slow)^female^42.0^1^0^S^SC/AH 3085^26.0^
129^1^3^Peter, Miss. Anna^female^^1^1^C^2668^22.3583^F E69
856^1^3^Aks, Mrs. Sam (Leah Rosen)^female^18.0^0^1^S^392091^9.35^
566^0^3^Davies, Mr. Alfred J^male^24.0^2^0^S^A/4 48871^24.15^
68^0^3^Crease, Mr. Ernest James^male^19.0^0^0^S^S.P. 3464^8.1583^
458^1^1^Kenyon, Mrs. Frederick R (Marion)^female^^1^0^S^17464^51.8625^D21
30^0^3^Todoroff, Mr. Lalio^male^^0^0^S^349216^7.8958^
650^1^3^Stanley, Miss. Amy Zillah Elsie^female^23.0^0^0^S^CA. 2314^7.55^
406^0^2^Gale, Mr. Shadrach^male^34.0^1^0^S^28664^21.0^
616^1^2^Herman, Miss. Alice^female^24.0^1^2^S^220845^65.0^
237^0^2^Hold, Mr. Stephen^male^44.0^1^0^S^26707^26.0^
521^1^1^Perreault, Miss. Anne^female^30.0^0^0^S^12749^93.5^B73
870^1^3^Johnson, Master. Harold Theodor^male^4.0^1^1^S^347742^11.1333^
624^0^3^Hansen, Mr. Henry Damsgaard^male^21.0^0^0^S^350029^7.8542^
585^0^3^Paulner, Mr. Uscher^male^^0^0^C^3411^8.7125^
648^1^1^Simonius-Blumer, Col. Oberst Alfons^male^56.0^0^0^C^13213^35.5^A26
756^1^2^Hamalainen, Master. Viljo^male^0.67^1^1^S^250649^14.5^
561^0^3^Morrow, Mr. Thomas Rowan^male^^0^0^Q^372622^7.75^
320^1^1^Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)^female^40.0^1^1^C^16966^134.5^E34
803^1^1^Carter, Master. William Thornton II^male^11.0^1^2^S^113760^120.0^B96 B98
461^1^1^Anderson, Mr. Harry^male^48.0^0^0^S^19952^26.55^E12
335^1^1^Frauenthal, Mrs. Henry William (Clara Heinsheimer)^female^^1^0^S^PC 17611^133.65^
147^1^3^"Andersson, Mr. August Edvard (""Wennerstrom"")"^male^27.0^0^0^S^350043^7.7958^
683^0^3^Olsvigen, Mr. Thor Anderson^male^20.0^0^0^S^6563^9.225^
133^0^3^Robins, Mrs. Alexander A (Grace Charity Laury)^female^47.0^1^0^S^A/5. 3337^14.5^
556^0^1^Wright, Mr. George^male^62.0^0^0^S^113807^26.55^
826^0^3^Flynn, Mr. John^male^^0^0^Q^368323^6.95^
632^0^3^Lundahl, Mr. Johan Svensson^male^51.0^0^0^S^347743^7.0542^
168^0^3^Skoog, Mrs. William (Anna Bernhardina Karlsson)^female^45.0^1^4^S^347088^27.9^
125^0^1^White, Mr. Percival Wayland^male^54.0^0^1^S^35281^77.2875^D26
369^1^3^Jermyn, Miss. Annie^female^^0^0^Q^14313^7.75^
437^0^3^"Ford, Miss. Doolina Margaret ""Daisy"""^female^21.0^2^2^S^W./C. 6608^34.375^
177^0^3^Lefebre, Master. Henry Forbes^male^^3^1^S^4133^25.4667^
697^0^3^Kelly, Mr. James^male^44.0^0^0^S^363592^8.05^
390^1^2^Lehmann, Miss. Bertha^female^17.0^0^0^C^SC 1748^12.0^
804^1^3^Thomas, Master. Assad Alexander^male^0.42^0^1^C^2625^8.5167^
506^0^1^Penasco y Castellana, Mr. Victor de Satode^male^18.0^1^0^C^PC 17758^108.9^C65
77^0^3^Staneff, Mr. Ivan^male^^0^0^S^349208^7.8958^
49^0^3^Samaan, Mr. Youssef^male^^2^0^C^2662^21.6792^
235^0^2^Leyson, Mr. Robert William Norman^male^24.0^0^0^S^C.A. 29566^10.5^
231^1^1^Harris, Mrs. Henry Birkhardt (Irene Wallach)^female^35.0^1^0^S^36973^83.475^C83
143^1^3^Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)^female^24.0^1^0^S^STON/O2. 3101279^15.85^
753^0^3^Vande Velde, Mr. Johannes Joseph^male^33.0^0^0^S^345780^9.5^
871^0^3^Balkic, Mr. Cerin^male^26.0^0^0^S^349248^7.8958^
316^1^3^Nilsson, Miss. Helmina Josefina^female^26.0^0^0^S^347470^7.8542^
62^1^1^Icard, Miss. Amelie^female^38.0^0^0^^113572^80.0^B28
646^1^1^Harper, Mr. Henry Sleeper^male^48.0^1^0^C^PC 17572^76.7292^D33
150^0^2^Byles, Rev. Thomas Roussel Davids^male^42.0^0^0^S^244310^13.0^
440^0^2^Kvillner, Mr. Johan Henrik Johannesson^male^31.0^0^0^S^C.A. 18723^10.5^
75^1^3^Bing, Mr. Lee^male^32.0^0^0^S^1601^56.4958^
508^1^1^"Bradley, Mr. George (""George Arthur Brayton"")"^male^^0^0^S^111427^26.55^
696^0^2^Chapman, Mr. Charles Henry^male^52.0^0^0^S^248731^13.5^
216^1^1^Newell, Miss. Madeleine^female^31.0^1^0^C^35273^113.275^D36
333^0^1^Graham, Mr. George Edward^male^38.0^0^1^S^PC 17582^153.4625^C91
583^0^2^Downton, Mr. William James^male^54.0^0^0^S^28403^26.0^
545^0^1^Douglas, Mr. Walter Donald^male^50.0^1^0^C^PC 17761^106.425^C86
322^0^3^Danoff, Mr. Yoto^male^27.0^0^0^S^349219^7.8958^
427^1^2^Clarke, Mrs. Charles V (Ada Maria Winfield)^female^28.0^1^0^S^2003^26.0^
786^0^3^Harmer, Mr. Abraham (David Lishin)^male^25.0^0^0^S^374887^7.25^
410^0^3^Lefebre, Miss. Ida^female^^3^1^S^4133^25.4667^
236^0^3^Harknett, Miss. Alice Phoebe^female^^0^0^S^W./C. 6609^7.55^
505^1^1^Maioni, Miss. Roberta^female^16.0^0^0^S^110152^86.5^B79
109^0^3^Rekic, Mr. Tido^male^38.0^0^0^S^349249^7.8958^
61^0^3^Sirayanian, Mr. Orsen^male^22.0^0^0^C^2669^7.2292^
385^0^3^Plotcharsky, Mr. Vasil^male^^0^0^S^349227^7.8958^
778^1^3^Emanuel, Miss. Virginia Ethel^female^5.0^0^0^S^364516^12.475^
188^1^1^"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"^male^45.0^0^0^S^111428^26.55^
595^0^2^Chapman, Mr. John Henry^male^37.0^1^0^S^SC/AH 29037^26.0^
225^1^1^Hoyt, Mr. Frederick Maxfield^male^38.0^1^0^S^19943^90.0^C93
846^0^3^Abbing, Mr. Anthony^male^42.0^0^0^S^C.A. 5547^7.55^
302^1^3^McCoy, Mr. Bernard^male^^2^0^Q^367226^23.25^
887^0^2^Montvila, Rev. Juozas^male^27.0^0^0^S^211536^13.0^
264^0^1^Harrison, Mr. William^male^40.0^0^0^S^112059^0.0^B94
608^1^1^Daniel, Mr. Robert Williams^male^27.0^0^0^S^113804^30.5^
171^0^1^Van der hoef, Mr. Wyckoff^male^61.0^0^0^S^111240^33.5^B19
